onset	duration	Condition Name
27.09	1	Deviant 8.0
39.921	1	Deviant 5.0
54.179	1	Catch - Catch
64.159	1	Deviant 3.0
72.714	1	Deviant 8.0
81.268	1	Deviant 6.0
94.1	1	Catch - Catch
105.506	1	Deviant 9.0
115.487	1	Deviant 12.0
129.744	1	Catch - Catch
138.299	1	Deviant 6.0
151.131	1	Deviant 5.0
165.388	1	Deviant 4.0
175.369	1	Catch - Catch
186.775	1	Deviant 9.0
195.329	1	Deviant 4.0
208.161	1	Catch - Catch
218.141	1	Deviant 3.0
229.548	1	Deviant 6.0
243.805	1	Deviant 8.0
255.211	1	Catch - Catch
268.043	1	Deviant 9.0
278.023	1	Deviant 5.0
292.281	1	Deviant 4.0
300.836	1	Catch - Catch
313.667	1	Deviant 6.0
323.648	1	Deviant 12.0
335.054	1	Catch - Catch
343.608	1	Deviant 12.0
357.866	1	Deviant 3.0
