onset	duration	Condition Name
27.089	1	Deviant 3.0
41.347	1	Catch - Catch
54.179	1	Deviant 9.0
62.733	1	Deviant 5.0
72.713	1	Catch - Catch
81.268	1	Deviant 3.0
94.1	1	Deviant 12.0
105.506	1	Catch - Catch
115.486	1	Deviant 4.0
129.744	1	Deviant 6.0
139.724	1	Deviant 12.0
151.13	1	Catch - Catch
163.962	1	Deviant 9.0
178.22	1	Deviant 6.0
186.774	1	Deviant 8.0
199.606	1	Deviant 3.0
209.586	1	Deviant 4.0
218.141	1	Catch - Catch
229.547	1	Deviant 5.0
243.805	1	Deviant 12.0
252.359	1	Catch - Catch
262.34	1	Deviant 8.0
273.746	1	Deviant 6.0
288.003	1	Deviant 5.0
300.835	1	Deviant 8.0
310.815	1	Catch - Catch
322.222	1	Deviant 9.0
336.479	1	Deviant 6.0
349.311	1	Deviant 4.0
357.866	1	Catch - Catch
