onset	duration	Condition Name
25.664	1	Deviant 8.0
37.07	1	Deviant 5.0
49.902	1	Catch - Catch
64.159	1	Deviant 3.0
72.714	1	Deviant 8.0
82.694	1	Deviant 6.0
96.952	1	Catch - Catch
108.358	1	Deviant 9.0
116.912	1	Deviant 12.0
129.744	1	Catch - Catch
139.724	1	Deviant 6.0
148.279	1	Deviant 5.0
161.111	1	Deviant 4.0
172.517	1	Catch - Catch
186.775	1	Deviant 9.0
196.755	1	Deviant 4.0
209.587	1	Catch - Catch
220.993	1	Deviant 3.0
235.25	1	Deviant 6.0
243.805	1	Deviant 8.0
255.211	1	Catch - Catch
269.469	1	Deviant 9.0
279.449	1	Deviant 5.0
292.281	1	Deviant 4.0
300.835	1	Catch - Catch
312.241	1	Deviant 6.0
325.073	1	Deviant 12.0
335.054	1	Catch - Catch
343.608	1	Deviant 12.0
357.866	1	Deviant 3.0
