onset	duration	Condition Name
28.515	1	Deviant 3.0
38.495	1	Catch - Catch
49.901	1	Deviant 9.0
58.456	1	Deviant 5.0
72.714	1	Catch - Catch
85.545	1	Deviant 3.0
96.952	1	Deviant 12.0
106.932	1	Catch - Catch
115.486	1	Deviant 4.0
129.744	1	Deviant 6.0
139.724	1	Deviant 12.0
151.13	1	Catch - Catch
165.388	1	Deviant 9.0
178.22	1	Deviant 6.0
186.774	1	Deviant 8.0
198.181	1	Deviant 3.0
206.735	1	Deviant 4.0
216.715	1	Catch - Catch
230.973	1	Deviant 5.0
243.805	1	Deviant 12.0
252.359	1	Catch - Catch
263.766	1	Deviant 8.0
278.023	1	Deviant 6.0
290.855	1	Deviant 5.0
300.835	1	Deviant 8.0
309.39	1	Catch - Catch
323.647	1	Deviant 9.0
333.628	1	Deviant 6.0
345.034	1	Deviant 4.0
357.866	1	Catch - Catch
