onset	duration	Condition Name
24.237	1	Deviant 3.0
35.644	1	Catch - Catch
49.901	1	Deviant 9.0
59.881	1	Deviant 5.0
72.713	1	Catch - Catch
85.545	1	Deviant 3.0
94.1	1	Deviant 12.0
105.506	1	Catch - Catch
119.763	1	Deviant 4.0
129.744	1	Deviant 6.0
142.576	1	Deviant 12.0
151.13	1	Catch - Catch
165.388	1	Deviant 9.0
176.794	1	Deviant 6.0
186.774	1	Deviant 8.0
196.754	1	Deviant 3.0
211.012	1	Deviant 4.0
223.844	1	Catch - Catch
235.25	1	Deviant 5.0
243.805	1	Deviant 12.0
255.211	1	Catch - Catch
265.191	1	Deviant 8.0
278.023	1	Deviant 6.0
286.577	1	Deviant 5.0
300.835	1	Deviant 8.0
313.667	1	Catch - Catch
325.073	1	Deviant 9.0
339.33	1	Deviant 6.0
347.885	1	Deviant 4.0
357.865	1	Catch - Catch
