onset	duration	Condition Name
28.515	1	Deviant 8.0
37.069	1	Deviant 5.0
51.327	1	Catch - Catch
62.733	1	Deviant 3.0
72.713	1	Deviant 8.0
82.694	1	Deviant 6.0
94.1	1	Catch - Catch
108.357	1	Deviant 9.0
116.912	1	Deviant 12.0
129.744	1	Catch - Catch
139.724	1	Deviant 6.0
151.13	1	Deviant 5.0
165.388	1	Deviant 4.0
178.22	1	Catch - Catch
186.774	1	Deviant 9.0
196.754	1	Deviant 4.0
209.586	1	Catch - Catch
218.141	1	Deviant 3.0
229.547	1	Deviant 6.0
243.805	1	Deviant 8.0
256.636	1	Catch - Catch
270.894	1	Deviant 9.0
280.874	1	Deviant 5.0
292.28	1	Deviant 4.0
300.835	1	Catch - Catch
310.815	1	Deviant 6.0
319.37	1	Deviant 12.0
333.627	1	Catch - Catch
345.034	1	Deviant 12.0
357.865	1	Deviant 3.0
