onset	duration	Condition Name
25.664	1	Deviant 8.0
34.218	1	Deviant 5.0
47.05	1	Catch - Catch
58.456	1	Deviant 3.0
72.714	1	Deviant 8.0
81.268	1	Deviant 6.0
95.526	1	Catch - Catch
105.506	1	Deviant 9.0
116.912	1	Deviant 12.0
129.744	1	Catch - Catch
144.002	1	Deviant 6.0
153.982	1	Deviant 5.0
165.388	1	Deviant 4.0
173.943	1	Catch - Catch
186.775	1	Deviant 9.0
199.606	1	Deviant 4.0
208.161	1	Catch - Catch
218.141	1	Deviant 3.0
232.399	1	Deviant 6.0
243.805	1	Deviant 8.0
258.063	1	Catch - Catch
266.617	1	Deviant 9.0
279.449	1	Deviant 5.0
289.429	1	Deviant 4.0
300.835	1	Catch - Catch
315.093	1	Deviant 6.0
323.648	1	Deviant 12.0
336.479	1	Catch - Catch
347.885	1	Deviant 12.0
357.866	1	Deviant 3.0
