onset	duration	Condition Name
25.664	1	Deviant 3.0
39.922	1	Catch - Catch
52.754	1	Deviant 9.0
61.308	1	Deviant 5.0
72.714	1	Catch - Catch
86.972	1	Deviant 3.0
96.952	1	Deviant 12.0
105.507	1	Catch - Catch
118.338	1	Deviant 4.0
129.745	1	Deviant 6.0
142.576	1	Deviant 12.0
152.557	1	Catch - Catch
161.111	1	Deviant 9.0
172.517	1	Deviant 6.0
186.775	1	Deviant 8.0
195.33	1	Deviant 3.0
208.161	1	Deviant 4.0
222.419	1	Catch - Catch
233.825	1	Deviant 5.0
243.805	1	Deviant 12.0
258.063	1	Catch - Catch
269.469	1	Deviant 8.0
278.024	1	Deviant 6.0
288.004	1	Deviant 5.0
300.836	1	Deviant 8.0
310.816	1	Catch - Catch
325.074	1	Deviant 9.0
337.906	1	Deviant 6.0
346.46	1	Deviant 4.0
357.866	1	Catch - Catch
