onset	duration	Condition Name
29.941	1	Deviant 3.0
41.347	1	Catch - Catch
51.327	1	Deviant 9.0
64.159	1	Deviant 5.0
72.714	1	Catch - Catch
86.971	1	Deviant 3.0
96.951	1	Deviant 12.0
109.783	1	Catch - Catch
121.189	1	Deviant 4.0
129.744	1	Deviant 6.0
142.576	1	Deviant 12.0
156.833	1	Catch - Catch
166.814	1	Deviant 9.0
175.368	1	Deviant 6.0
186.774	1	Deviant 8.0
195.329	1	Deviant 3.0
209.587	1	Deviant 4.0
220.993	1	Catch - Catch
230.973	1	Deviant 5.0
243.805	1	Deviant 12.0
256.637	1	Catch - Catch
265.191	1	Deviant 8.0
275.172	1	Deviant 6.0
286.578	1	Deviant 5.0
300.835	1	Deviant 8.0
312.241	1	Catch - Catch
326.499	1	Deviant 9.0
335.053	1	Deviant 6.0
345.034	1	Deviant 4.0
357.866	1	Catch - Catch
