onset	duration	Condition Name
25.664	1	Deviant 8.0
38.496	1	Deviant 5.0
52.753	1	Catch - Catch
61.308	1	Deviant 3.0
72.714	1	Deviant 8.0
86.971	1	Deviant 6.0
99.803	1	Catch - Catch
111.209	1	Deviant 9.0
121.19	1	Deviant 12.0
129.744	1	Catch - Catch
139.725	1	Deviant 6.0
153.982	1	Deviant 5.0
165.388	1	Deviant 4.0
173.943	1	Catch - Catch
186.775	1	Deviant 9.0
196.755	1	Deviant 4.0
208.161	1	Catch - Catch
222.419	1	Deviant 3.0
230.973	1	Deviant 6.0
243.805	1	Deviant 8.0
258.063	1	Catch - Catch
269.469	1	Deviant 9.0
278.023	1	Deviant 5.0
288.004	1	Deviant 4.0
300.836	1	Catch - Catch
309.39	1	Deviant 6.0
320.796	1	Deviant 12.0
333.628	1	Catch - Catch
347.886	1	Deviant 12.0
357.866	1	Deviant 3.0
