onset	duration	Condition Name
28.515	1	Deviant 8.0
42.773	1	Deviant 5.0
52.753	1	Catch - Catch
64.159	1	Deviant 3.0
72.714	1	Deviant 8.0
81.268	1	Deviant 6.0
91.249	1	Catch - Catch
105.506	1	Deviant 9.0
116.912	1	Deviant 12.0
129.744	1	Catch - Catch
141.15	1	Deviant 6.0
155.408	1	Deviant 5.0
163.963	1	Deviant 4.0
176.794	1	Catch - Catch
186.775	1	Deviant 9.0
198.181	1	Deviant 4.0
211.013	1	Catch - Catch
220.993	1	Deviant 3.0
229.547	1	Deviant 6.0
243.805	1	Deviant 8.0
258.063	1	Catch - Catch
266.617	1	Deviant 9.0
276.598	1	Deviant 5.0
288.004	1	Deviant 4.0
300.836	1	Catch - Catch
312.242	1	Deviant 6.0
326.499	1	Deviant 12.0
336.48	1	Catch - Catch
345.034	1	Deviant 12.0
357.866	1	Deviant 3.0
