onset	duration	Condition Name
24.238	1	Deviant 3.0
34.218	1	Catch - Catch
47.05	1	Deviant 9.0
61.307	1	Deviant 5.0
72.713	1	Catch - Catch
82.694	1	Deviant 3.0
95.526	1	Deviant 12.0
106.932	1	Catch - Catch
115.486	1	Deviant 4.0
129.744	1	Deviant 6.0
144.001	1	Deviant 12.0
152.556	1	Catch - Catch
165.388	1	Deviant 9.0
176.794	1	Deviant 6.0
186.774	1	Deviant 8.0
196.755	1	Deviant 3.0
209.586	1	Deviant 4.0
218.141	1	Catch - Catch
229.547	1	Deviant 5.0
243.805	1	Deviant 12.0
252.359	1	Catch - Catch
265.191	1	Deviant 8.0
275.171	1	Deviant 6.0
289.429	1	Deviant 5.0
300.835	1	Deviant 8.0
310.815	1	Catch - Catch
322.221	1	Deviant 9.0
335.053	1	Deviant 6.0
343.608	1	Deviant 4.0
357.865	1	Catch - Catch
