onset	duration	Condition Name
24.238	1	Deviant 8.0
35.644	1	Deviant 5.0
48.476	1	Catch - Catch
62.734	1	Deviant 3.0
72.714	1	Deviant 8.0
82.694	1	Deviant 6.0
91.249	1	Catch - Catch
105.506	1	Deviant 9.0
116.913	1	Deviant 12.0
129.744	1	Catch - Catch
139.725	1	Deviant 6.0
153.982	1	Deviant 5.0
165.388	1	Deviant 4.0
173.943	1	Catch - Catch
186.775	1	Deviant 9.0
201.032	1	Deviant 4.0
209.587	1	Catch - Catch
222.419	1	Deviant 3.0
232.399	1	Deviant 6.0
243.805	1	Deviant 8.0
252.36	1	Catch - Catch
262.34	1	Deviant 9.0
275.172	1	Deviant 5.0
289.43	1	Deviant 4.0
300.836	1	Catch - Catch
313.667	1	Deviant 6.0
323.648	1	Deviant 12.0
337.905	1	Catch - Catch
346.46	1	Deviant 12.0
357.866	1	Deviant 3.0
