onset	duration	Condition Name
27.089	1	Deviant 8.0
41.347	1	Deviant 5.0
54.179	1	Catch - Catch
64.159	1	Deviant 3.0
72.713	1	Deviant 8.0
82.694	1	Deviant 6.0
95.526	1	Catch - Catch
106.932	1	Deviant 9.0
121.189	1	Deviant 12.0
129.744	1	Catch - Catch
139.724	1	Deviant 6.0
148.279	1	Deviant 5.0
159.685	1	Deviant 4.0
172.517	1	Catch - Catch
186.774	1	Deviant 9.0
201.032	1	Deviant 4.0
211.012	1	Catch - Catch
223.844	1	Deviant 3.0
235.25	1	Deviant 6.0
243.805	1	Deviant 8.0
256.637	1	Catch - Catch
268.043	1	Deviant 9.0
282.3	1	Deviant 5.0
292.281	1	Deviant 4.0
300.835	1	Catch - Catch
309.39	1	Deviant 6.0
323.647	1	Deviant 12.0
335.053	1	Catch - Catch
345.034	1	Deviant 12.0
357.866	1	Deviant 3.0
