onset	duration	Condition Name
28.515	1	Deviant 3.0
38.496	1	Catch - Catch
52.753	1	Deviant 9.0
61.308	1	Deviant 5.0
72.714	1	Catch - Catch
81.269	1	Deviant 3.0
91.249	1	Deviant 12.0
102.655	1	Catch - Catch
116.913	1	Deviant 4.0
129.744	1	Deviant 6.0
144.002	1	Deviant 12.0
152.557	1	Catch - Catch
165.388	1	Deviant 9.0
176.795	1	Deviant 6.0
186.775	1	Deviant 8.0
199.607	1	Deviant 3.0
213.864	1	Deviant 4.0
222.419	1	Catch - Catch
232.399	1	Deviant 5.0
243.805	1	Deviant 12.0
258.063	1	Catch - Catch
266.617	1	Deviant 8.0
279.449	1	Deviant 6.0
290.855	1	Deviant 5.0
300.836	1	Deviant 8.0
313.668	1	Catch - Catch
323.648	1	Deviant 9.0
337.905	1	Deviant 6.0
349.312	1	Deviant 4.0
357.866	1	Catch - Catch
