onset	duration	Condition Name
29.941	1	Deviant 3.0
38.495	1	Catch - Catch
51.327	1	Deviant 9.0
61.307	1	Deviant 5.0
72.713	1	Catch - Catch
85.545	1	Deviant 3.0
96.951	1	Deviant 12.0
111.209	1	Catch - Catch
119.764	1	Deviant 4.0
129.744	1	Deviant 6.0
141.15	1	Deviant 12.0
151.13	1	Catch - Catch
159.685	1	Deviant 9.0
172.517	1	Deviant 6.0
186.774	1	Deviant 8.0
196.755	1	Deviant 3.0
211.012	1	Deviant 4.0
222.418	1	Catch - Catch
230.973	1	Deviant 5.0
243.805	1	Deviant 12.0
256.637	1	Catch - Catch
266.617	1	Deviant 8.0
275.171	1	Deviant 6.0
286.577	1	Deviant 5.0
300.835	1	Deviant 8.0
312.241	1	Catch - Catch
320.796	1	Deviant 9.0
333.628	1	Deviant 6.0
347.885	1	Deviant 4.0
357.865	1	Catch - Catch
