onset	duration	Condition Name
24.238	1	Deviant 8.0
34.219	1	Deviant 5.0
45.625	1	Catch - Catch
59.882	1	Deviant 3.0
72.714	1	Deviant 8.0
81.269	1	Deviant 6.0
94.101	1	Catch - Catch
108.358	1	Deviant 9.0
119.764	1	Deviant 12.0
129.745	1	Catch - Catch
142.576	1	Deviant 6.0
151.131	1	Deviant 5.0
165.389	1	Deviant 4.0
176.795	1	Catch - Catch
186.775	1	Deviant 9.0
196.755	1	Deviant 4.0
205.31	1	Catch - Catch
219.568	1	Deviant 3.0
232.399	1	Deviant 6.0
243.805	1	Deviant 8.0
258.063	1	Catch - Catch
270.895	1	Deviant 9.0
279.449	1	Deviant 5.0
289.43	1	Deviant 4.0
300.836	1	Catch - Catch
312.242	1	Deviant 6.0
326.5	1	Deviant 12.0
336.48	1	Catch - Catch
345.034	1	Deviant 12.0
357.866	1	Deviant 3.0
