onset	duration	Condition Name
24.238	1	Deviant 3.0
35.644	1	Catch - Catch
48.476	1	Deviant 9.0
58.456	1	Deviant 5.0
72.714	1	Catch - Catch
82.694	1	Deviant 3.0
96.951	1	Deviant 12.0
108.358	1	Catch - Catch
116.912	1	Deviant 4.0
129.744	1	Deviant 6.0
139.724	1	Deviant 12.0
151.13	1	Catch - Catch
163.962	1	Deviant 9.0
172.517	1	Deviant 6.0
186.774	1	Deviant 8.0
201.032	1	Deviant 3.0
211.012	1	Deviant 4.0
222.418	1	Catch - Catch
230.973	1	Deviant 5.0
243.805	1	Deviant 12.0
252.359	1	Catch - Catch
263.765	1	Deviant 8.0
278.023	1	Deviant 6.0
288.003	1	Deviant 5.0
300.835	1	Deviant 8.0
309.39	1	Catch - Catch
323.647	1	Deviant 9.0
336.479	1	Deviant 6.0
347.885	1	Deviant 4.0
357.866	1	Catch - Catch
