onset	duration	Condition Name
28.516	1	Deviant 8.0
37.07	1	Deviant 5.0
48.476	1	Catch - Catch
62.734	1	Deviant 3.0
72.714	1	Deviant 8.0
82.695	1	Deviant 6.0
91.249	1	Catch - Catch
102.655	1	Deviant 9.0
116.913	1	Deviant 12.0
129.745	1	Catch - Catch
138.299	1	Deviant 6.0
149.705	1	Deviant 5.0
159.686	1	Deviant 4.0
172.517	1	Catch - Catch
186.775	1	Deviant 9.0
196.755	1	Deviant 4.0
211.013	1	Catch - Catch
222.419	1	Deviant 3.0
235.251	1	Deviant 6.0
243.805	1	Deviant 8.0
258.063	1	Catch - Catch
268.043	1	Deviant 9.0
276.598	1	Deviant 5.0
289.43	1	Deviant 4.0
300.836	1	Catch - Catch
315.093	1	Deviant 6.0
326.5	1	Deviant 12.0
336.48	1	Catch - Catch
345.034	1	Deviant 12.0
357.866	1	Deviant 3.0
