onset	duration	Condition Name
25.663	1	Deviant 8.0
34.218	1	Deviant 5.0
48.475	1	Catch - Catch
61.307	1	Deviant 3.0
72.713	1	Deviant 8.0
84.119	1	Deviant 6.0
98.377	1	Catch - Catch
108.357	1	Deviant 9.0
116.912	1	Deviant 12.0
129.744	1	Catch - Catch
144.001	1	Deviant 6.0
152.556	1	Deviant 5.0
165.388	1	Deviant 4.0
176.794	1	Catch - Catch
186.774	1	Deviant 9.0
196.754	1	Deviant 4.0
209.586	1	Catch - Catch
223.844	1	Deviant 3.0
235.25	1	Deviant 6.0
243.804	1	Deviant 8.0
255.211	1	Catch - Catch
268.042	1	Deviant 9.0
276.597	1	Deviant 5.0
290.855	1	Deviant 4.0
300.835	1	Catch - Catch
312.241	1	Deviant 6.0
320.795	1	Deviant 12.0
330.776	1	Catch - Catch
345.033	1	Deviant 12.0
357.865	1	Deviant 3.0
