onset	duration	Condition Name
25.664	1	Deviant 8.0
34.219	1	Deviant 5.0
45.625	1	Catch - Catch
59.882	1	Deviant 3.0
72.714	1	Deviant 8.0
85.546	1	Deviant 6.0
94.101	1	Catch - Catch
108.358	1	Deviant 9.0
119.764	1	Deviant 12.0
129.745	1	Catch - Catch
144.002	1	Deviant 6.0
152.557	1	Deviant 5.0
165.389	1	Deviant 4.0
175.369	1	Catch - Catch
186.775	1	Deviant 9.0
198.181	1	Deviant 4.0
212.439	1	Catch - Catch
220.993	1	Deviant 3.0
233.825	1	Deviant 6.0
243.805	1	Deviant 8.0
252.36	1	Catch - Catch
262.34	1	Deviant 9.0
276.598	1	Deviant 5.0
288.004	1	Deviant 4.0
300.836	1	Catch - Catch
315.093	1	Deviant 6.0
325.074	1	Deviant 12.0
333.628	1	Catch - Catch
346.46	1	Deviant 12.0
357.866	1	Deviant 3.0
