onset	duration	Condition Name
24.238	1	Deviant 8.0
34.218	1	Deviant 5.0
48.476	1	Catch - Catch
61.308	1	Deviant 3.0
72.714	1	Deviant 8.0
86.971	1	Deviant 6.0
99.803	1	Catch - Catch
108.358	1	Deviant 9.0
118.338	1	Deviant 12.0
129.744	1	Catch - Catch
144.002	1	Deviant 6.0
155.408	1	Deviant 5.0
165.388	1	Deviant 4.0
178.22	1	Catch - Catch
186.774	1	Deviant 9.0
195.329	1	Deviant 4.0
208.161	1	Catch - Catch
222.418	1	Deviant 3.0
232.399	1	Deviant 6.0
243.805	1	Deviant 8.0
258.062	1	Catch - Catch
266.617	1	Deviant 9.0
278.023	1	Deviant 5.0
290.855	1	Deviant 4.0
300.835	1	Catch - Catch
310.816	1	Deviant 6.0
325.073	1	Deviant 12.0
333.628	1	Catch - Catch
345.034	1	Deviant 12.0
357.866	1	Deviant 3.0
