onset	duration	Condition Name
25.664	1	Deviant 3.0
38.495	1	Catch - Catch
49.901	1	Deviant 9.0
64.159	1	Deviant 5.0
72.714	1	Catch - Catch
81.268	1	Deviant 3.0
91.249	1	Deviant 12.0
102.655	1	Catch - Catch
116.912	1	Deviant 4.0
129.744	1	Deviant 6.0
138.299	1	Deviant 12.0
148.279	1	Catch - Catch
162.537	1	Deviant 9.0
173.943	1	Deviant 6.0
186.774	1	Deviant 8.0
199.606	1	Deviant 3.0
211.012	1	Deviant 4.0
220.993	1	Catch - Catch
235.25	1	Deviant 5.0
243.805	1	Deviant 12.0
253.785	1	Catch - Catch
262.34	1	Deviant 8.0
275.172	1	Deviant 6.0
289.429	1	Deviant 5.0
300.835	1	Deviant 8.0
309.39	1	Catch - Catch
319.37	1	Deviant 9.0
332.202	1	Deviant 6.0
343.608	1	Deviant 4.0
357.866	1	Catch - Catch
