onset	duration	Condition Name
25.663	1	Deviant 3.0
39.921	1	Catch - Catch
52.753	1	Deviant 9.0
64.159	1	Deviant 5.0
72.713	1	Catch - Catch
82.694	1	Deviant 3.0
95.525	1	Deviant 12.0
104.08	1	Catch - Catch
118.338	1	Deviant 4.0
129.744	1	Deviant 6.0
138.298	1	Deviant 12.0
151.13	1	Catch - Catch
165.388	1	Deviant 9.0
176.794	1	Deviant 6.0
186.774	1	Deviant 8.0
198.18	1	Deviant 3.0
208.161	1	Deviant 4.0
220.992	1	Catch - Catch
235.25	1	Deviant 5.0
243.805	1	Deviant 12.0
258.062	1	Catch - Catch
266.617	1	Deviant 8.0
278.023	1	Deviant 6.0
288.003	1	Deviant 5.0
300.835	1	Deviant 8.0
312.241	1	Catch - Catch
320.796	1	Deviant 9.0
330.776	1	Deviant 6.0
345.034	1	Deviant 4.0
357.865	1	Catch - Catch
