onset	duration	Condition Name
27.089	1	Deviant 3.0
35.644	1	Catch - Catch
48.476	1	Deviant 9.0
62.733	1	Deviant 5.0
72.714	1	Catch - Catch
81.268	1	Deviant 3.0
92.674	1	Deviant 12.0
106.932	1	Catch - Catch
119.764	1	Deviant 4.0
129.744	1	Deviant 6.0
142.576	1	Deviant 12.0
156.834	1	Catch - Catch
165.388	1	Deviant 9.0
176.794	1	Deviant 6.0
186.775	1	Deviant 8.0
198.181	1	Deviant 3.0
212.438	1	Deviant 4.0
222.419	1	Catch - Catch
230.973	1	Deviant 5.0
243.805	1	Deviant 12.0
252.36	1	Catch - Catch
265.191	1	Deviant 8.0
276.598	1	Deviant 6.0
286.578	1	Deviant 5.0
300.835	1	Deviant 8.0
315.093	1	Catch - Catch
323.648	1	Deviant 9.0
336.479	1	Deviant 6.0
346.46	1	Deviant 4.0
357.866	1	Catch - Catch
