onset	duration	Condition Name
29.94	1	Deviant 8.0
42.772	1	Deviant 5.0
52.753	1	Catch - Catch
64.159	1	Deviant 3.0
72.713	1	Deviant 8.0
82.694	1	Deviant 6.0
96.951	1	Catch - Catch
105.506	1	Deviant 9.0
116.912	1	Deviant 12.0
129.744	1	Catch - Catch
142.576	1	Deviant 6.0
152.556	1	Deviant 5.0
163.962	1	Deviant 4.0
178.22	1	Catch - Catch
186.774	1	Deviant 9.0
196.754	1	Deviant 4.0
208.161	1	Catch - Catch
220.992	1	Deviant 3.0
229.547	1	Deviant 6.0
243.805	1	Deviant 8.0
258.062	1	Catch - Catch
269.468	1	Deviant 9.0
278.023	1	Deviant 5.0
288.003	1	Deviant 4.0
300.835	1	Catch - Catch
312.241	1	Deviant 6.0
325.073	1	Deviant 12.0
333.627	1	Catch - Catch
347.885	1	Deviant 12.0
357.865	1	Deviant 3.0
