onset	duration	Condition Name
27.089	1	Deviant 3.0
39.921	1	Catch - Catch
49.901	1	Deviant 9.0
64.159	1	Deviant 5.0
72.713	1	Catch - Catch
81.268	1	Deviant 3.0
95.525	1	Deviant 12.0
108.357	1	Catch - Catch
119.763	1	Deviant 4.0
129.744	1	Deviant 6.0
144.001	1	Deviant 12.0
153.982	1	Catch - Catch
166.813	1	Deviant 9.0
175.368	1	Deviant 6.0
186.774	1	Deviant 8.0
196.754	1	Deviant 3.0
208.16	1	Deviant 4.0
222.418	1	Catch - Catch
230.973	1	Deviant 5.0
243.804	1	Deviant 12.0
253.785	1	Catch - Catch
265.191	1	Deviant 8.0
273.745	1	Deviant 6.0
288.003	1	Deviant 5.0
300.835	1	Deviant 8.0
309.389	1	Catch - Catch
320.796	1	Deviant 9.0
335.053	1	Deviant 6.0
347.885	1	Deviant 4.0
357.865	1	Catch - Catch
