onset	duration	Condition Name
24.238	1	Deviant 3.0
34.218	1	Catch - Catch
45.624	1	Deviant 9.0
58.456	1	Deviant 5.0
72.713	1	Catch - Catch
86.971	1	Deviant 3.0
95.526	1	Deviant 12.0
108.357	1	Catch - Catch
118.338	1	Deviant 4.0
129.744	1	Deviant 6.0
142.576	1	Deviant 12.0
156.833	1	Catch - Catch
168.239	1	Deviant 9.0
176.794	1	Deviant 6.0
186.774	1	Deviant 8.0
201.032	1	Deviant 3.0
212.438	1	Deviant 4.0
220.992	1	Catch - Catch
230.973	1	Deviant 5.0
243.805	1	Deviant 12.0
252.359	1	Catch - Catch
265.191	1	Deviant 8.0
275.171	1	Deviant 6.0
286.577	1	Deviant 5.0
300.835	1	Deviant 8.0
309.39	1	Catch - Catch
320.796	1	Deviant 9.0
335.053	1	Deviant 6.0
345.034	1	Deviant 4.0
357.865	1	Catch - Catch
